147,The Ruling Class,1972,0,154,0,"Comedy, Drama, Musical",Peter Medak
148,Being There,1979,0,130,0,"Comedy, Drama",Hal Ashby
149,Malcolm X,1992,0,202,0,"Biography, Drama, History",Spike Lee
150,I am Sam,2001,0,132,0,Drama,Jessie Nelson
151,Sophie's Choice,1982,0,150,0,"Drama, Romance",Alan J. Pakula
152,The Trip to Bountiful,1985,0,108,0,Drama,Peter Masterson
153,Rocky,1976,0,120,0,"Drama, Sport",John G. Avildsen
154,Rocky II,1979,1,119,0,"Drama, Sport",Sylvester Stallone
155,Rocky III,1982,1,99,0,"Drama, Sport",Sylvester Stallone
156,Rocky IV,1985,1,91,0,"Drama, Sport",Sylvester Stallone
157,Rocky V,1990,1,104,0,"Drama, Sport",John G. Avildsen
158,Rocky Balboa,2006,1,102,0,"Drama, Sport",Sylvester Stallone
159,Creed,2015,1,133,0,"Drama, Sport",Ryan Coogler
160,Joy,2015,0,124,0,"Biography, Comedy, Drama",David O. Russell
161,The Martian,2015,0,144,0,"Adventure, Drama, Sci-Fi",Ridley Scott
162,Room,2015,0,118,0,Drama,Lenny Abrahamson
163,Spotlight,2015,0,128,0,"Biography, Drama, History",Tom McCarthy
164,Big Short,2015,0,130,0,"Biography, Comedy, Drama",Adam McKay
165,The Hateful Eight,2015,0,187,0,"Crime, Drama, Mystery",Quentin Tarantino
166,Steve Jobs,2015,0,122,0,"Biography, Drama",Danny Boyle
167,Ex Machina,2015,0,108,0,"Drama, Mystery, Sci-Fi",Alex Garland
169,Hundraaringen som klev ut genom fonstret och forsvann,2013,0,114,0,"Adventure, Comedy",Felix Herngren
170,Cinderella,2015,0,105,0,"Drama, Family, Fantasy",Kenneth Branagh
171,Lady and the Tramp,1955,0,76,0,"Animation, Adventure, Comedy","Clyde Geronimi, Wilfred Jackson, Hamilton Luske"
172,One Hundred and One Dalmatians,1961,0,25,0,"Animation, Adventure, Comedy",Jakob Stegelmann
173,Alice in Wonderland,1951,0,75,0,"Animation, Adventure, Family","Clyde Geronimi, Wilfred Jackson, Hamilton Luske, Jack Kinney"
174,The Jungle Book,1967,0,78,0,"Animation, Adventure, Comedy",Wolfgang Reitherman
175,Petar Pan,1953,0,77,0,Comedy,"Clyde Geronimi, Wilfred Jackson, Hamilton Luske"
176,Dumbo,1941,0,64,0,"Animation, Drama, Family","Samuel Armstrong, Norman Ferguson, Wilfred Jackson, Jack Kinney, Bill Roberts, Ben Sharpsteen, John Elliotte"
177,Kung Fury,2015,0,31,0,"Short, Action, Comedy",David Sandberg
178,Sakasama no Patema,2013,0,98,0,"Animation, Adventure, Drama",Yasuhiro Yoshiura
179,Kotonoha no Niwa,2013,0,46,0,"Animation, Drama, Romance",Makoto Shinkai
180,The Little Prince,2015,0,108,0,"Animation, Adventure, Drama",Mark Osborne
181,Book of Life,2014,0,95,0,"Animation, Adventure, Comedy",Jorge R. Guti\xc3\xa9rrez
182,Okami Kodomo no Ame to Yuki,2012,0,117,0,"Animation, Drama, Family",Mamoru Hosoda
183,What We Do in the Shadows,2014,0,86,0,"Comedy, Fantasy, Horror","Jemaine Clement, Taika Waititi"
